task_id,pair,group1,group2,baseline_group,dtw_medoid,n1,n2,len_medoid1,len_medoid2
da2b0fe3,pair3,human_success,human_failed,B,135.0,9,1,12,28
da515329,pair3,human_success,human_failed,B,174.4175,3,4,351,10
dc2aa30b,pair3,human_success,human_failed,B,21.5682,3,3,24,9
de493100,pair3,human_success,human_failed,A,10.6,3,1,24,8
df8cc377,pair3,human_success,human_failed,B,110.337,6,1,123,47
e0fb7511,pair1,human_success,codeit_success,B,9.8485,7,2,28,5
e0fb7511,pair3,human_success,human_failed,B,11.8182,7,1,28,6
e133d23d,pair1,human_success,codeit_success,A,1.2222,5,136,9,6
e133d23d,pair2,human_failed,codeit_failed,A,3.8889,1,83,29,6
e133d23d,pair3,human_success,human_failed,A,4.6667,5,1,9,29
e133d23d,pair4,codeit_success,codeit_failed,A,0.4444,136,83,6,6
e1baa8a4,pair2,human_failed,codeit_failed,A,0.0,1,97,7,5
e1baa8a4,pair3,human_success,human_failed,A,11.45,9,1,28,7
e1d2900e,pair3,human_success,human_failed,B,934.5093,8,3,22,15
e2092e0c,pair3,human_success,human_failed,B,28.7332,1,4,17,16
e21a174a,pair3,human_success,human_failed,B,10.05,5,1,19,24
e345f17b,pair1,human_success,codeit_success,A,0.25,5,176,7,8
e345f17b,pair2,human_failed,codeit_failed,A,1.875,2,2,5,5
e345f17b,pair3,human_success,human_failed,A,4.625,5,2,7,5
e345f17b,pair4,codeit_success,codeit_failed,A,0.125,176,2,8,5
e4075551,pair3,human_success,human_failed,B,223.6906,6,1,59,6
e41c6fd3,pair3,human_success,human_failed,B,24.5,8,4,36,31
e57337a4,pair2,human_failed,codeit_failed,A,2.4444,1,4,10,5
e57337a4,pair3,human_success,human_failed,A,0.7778,8,1,8,10
e5790162,pair3,human_success,human_failed,B,8.1765,8,4,19,11
e5c44e8f,pair3,human_success,human_failed,B,34.2003,6,7,19,10
e619ca6e,pair3,human_success,human_failed,B,19.8725,6,2,17,10
e633a9e5,pair3,human_success,human_failed,A,3.16,4,1,14,5
e66aafb8,pair1,human_success,codeit_success,A,2.2222,9,690,10,5
e66aafb8,pair2,human_failed,codeit_failed,A,4.0,1,157,8,5
e66aafb8,pair3,human_success,human_failed,A,3.8889,9,1,10,8
e66aafb8,pair4,codeit_success,codeit_failed,A,0.1111,690,157,5,5
e6de6e8f,pair3,human_success,human_failed,A,2.3571,1,5,62,16
e74e1818,pair3,human_success,human_failed,B,14.4566,9,3,48,10
e7639916,pair1,human_success,codeit_success,B,12.9355,8,34,37,5
e7639916,pair2,human_failed,codeit_failed,B,73.9353,1,3,18,5
e7639916,pair3,human_success,human_failed,B,191.1609,8,1,37,18
e7639916,pair4,codeit_success,codeit_failed,B,2.2258,34,3,5,5
e78887d1,pair3,human_success,human_failed,A,5.9333,5,3,30,11
e7a25a18,pair3,human_success,human_failed,A,3.97,9,1,11,21
e7b06bea,pair3,human_success,human_failed,B,8.8333,5,7,14,21
e872b94a,pair1,human_success,codeit_success,A,0.0,2,8,6,6
e872b94a,pair2,human_failed,codeit_failed,A,0.0,2,97,8,5
e872b94a,pair3,human_success,human_failed,A,1.0,2,2,6,8
e872b94a,pair4,codeit_success,codeit_failed,A,2.0,8,97,6,5
e88171ec,pair3,human_success,human_failed,B,397.415,8,1,28,17
e95e3d8e,pair3,human_success,human_failed,B,20.087,5,1,50,49
e99362f0,pair3,human_success,human_failed,A,7.35,3,4,26,11
e9ac8c9e,pair3,human_success,human_failed,B,8.1912,9,1,27,7
e9b4f6fc,pair2,human_failed,codeit_failed,A,2.6,3,90,7,6
e9b4f6fc,pair3,human_success,human_failed,A,15.5,7,3,34,7
e9c9d9a1,pair3,human_success,human_failed,B,12.0135,8,2,12,26
ea9794b1,pair1,human_success,codeit_success,A,10.2,1,16,90,10
ea9794b1,pair2,human_failed,codeit_failed,A,4.56,4,19,5,11
ea9794b1,pair3,human_success,human_failed,A,22.56,1,4,90,5
ea9794b1,pair4,codeit_success,codeit_failed,A,0.52,16,19,10,11
ecaa0ec1,pair3,human_success,human_failed,B,1.2222,5,2,11,13
ed74f2f2,pair1,human_success,codeit_success,A,1.5556,7,12,8,6
ed74f2f2,pair2,human_failed,codeit_failed,A,0.8889,3,84,7,6
ed74f2f2,pair3,human_success,human_failed,A,4.8889,7,3,8,7
ed74f2f2,pair4,codeit_success,codeit_failed,A,1.5556,12,84,6,6
ed98d772,pair1,human_success,codeit_success,A,2.5833,3,113,11,8
ed98d772,pair2,human_failed,codeit_failed,A,4.1389,4,499,9,7
ed98d772,pair3,human_success,human_failed,A,2.5,3,4,11,9
ed98d772,pair4,codeit_success,codeit_failed,A,0.1111,113,499,8,7
ef26cbf6,pair3,human_success,human_failed,B,21.5,8,1,21,43
f0afb749,pair2,human_failed,codeit_failed,A,2.4444,3,20,5,5
f0afb749,pair3,human_success,human_failed,A,2.0278,12,3,13,5
f0df5ff0,pair1,human_success,codeit_success,B,21.1818,7,15,46,5
f0df5ff0,pair2,human_failed,codeit_failed,B,14.0454,1,4,42,5
f0df5ff0,pair3,human_success,human_failed,B,31.3181,7,1,46,42
f0df5ff0,pair4,codeit_success,codeit_failed,B,7.0682,15,4,5,5
f3b10344,pair3,human_success,human_failed,B,37.3808,3,3,14,9
f3cdc58f,pair3,human_success,human_failed,B,12.6522,7,1,28,25
f3e62deb,pair2,human_failed,codeit_failed,B,6.25,2,4,10,5
f3e62deb,pair3,human_success,human_failed,B,10.625,5,2,18,10
f4081712,pair1,human_success,codeit_success,A,6.0,8,608,27,5
f4081712,pair2,human_failed,codeit_failed,A,0.5,2,225,32,5
f4081712,pair3,human_success,human_failed,A,12.5,8,2,27,32
f4081712,pair4,codeit_success,codeit_failed,A,0.5,608,225,5,5
f5aa3634,pair1,human_success,codeit_success,A,2.5,11,5,29,5
f5aa3634,pair2,human_failed,codeit_failed,A,0.0,2,107,10,6
f5aa3634,pair3,human_success,human_failed,A,6.0,11,2,29,10
f5aa3634,pair4,codeit_success,codeit_failed,A,2.0,5,107,5,6
f5c89df1,pair3,human_success,human_failed,B,13.0333,3,5,32,21
f83cb3f6,pair3,human_success,human_failed,B,7.7,8,1,22,29
f8be4b64,pair3,human_success,human_failed,B,51.7553,3,3,146,7
f9a67cb5,pair3,human_success,human_failed,B,73.6898,2,3,119,18
f9d67f8b,pair3,human_success,human_failed,B,69.813,3,1,130,23
fb791726,pair3,human_success,human_failed,A,1.2188,6,2,9,27
fd096ab6,pair3,human_success,human_failed,B,1033.6667,8,1,33,7
fd4b2b02,pair3,human_success,human_failed,B,261.4062,4,3,37,13
fe9372f3,pair3,human_success,human_failed,B,35.5617,8,2,75,5
fea12743,pair3,human_success,human_failed,B,25.2916,1,9,64,15
ff72ca3e,pair3,human_success,human_failed,B,64.5365,7,4,26,20
